species,rating,ability,hidden_ability,nature,held_item,ev_hp,ev_attack,ev_defense,ev_special_attack,ev_special_defense,ev_speed,attack_0,attack_1,attack_2,attack_3,hidden_power_type
BISAFLOR,4,0,true,MAESSIG,SONNEN_EI,4,0,0,252,0,252,SOLARSTRAHL,MATSCHBOMBE,BLITZ,KRAFTRESERVE,FEUER
BISAFLOR,4,0,false,SACHT,GIFTSCHLEIM,252,252,4,0,0,0,FLUCH,ERDBEBEN,SAMENBOMBEN,SYNTHESE,FEUER
BISAFLOR,4,0,false,SACHT,GIFTSCHLEIM,252,0,4,0,252,0,DOPPELTEAM,SYNTHESE,EGELSAMEN,TOXIN,FEUER
BISAFLOR,5,0,false,MAESSIG,BISAFLORNIT,252,0,4,252,0,0,GIGASAUGER,MATSCHBOMBE,SCHUTZSCHILD,TOXIN,FEUER
BISAFLOR,5,0,false,SCHEU,BISAFLORNIT,4,0,0,252,0,252,BLITZ,ERDKRAEFTE,BLAETTERSTURM,MATSCHBOMBE,FEUER
BISAFLOR,3,0,false,HART,WAHLBAND,252,252,4,0,0,0,WUTANFALL,ERDBEBEN,SAMBENBOMBE,GIFTHIEB,FEUER
GLURAK,4,0,false,SCHEU,GROSSLINSE,4,0,0,252,0,252,FEUERSTURM,FOKUSSTOSS,WINDSCHNITT,KRAFTRESERVE,GESTEIN
GLURAK,4,0,true,SCHEU,SALKABEERE,4,0,0,252,0,252,AUSDAUER,FOKUSSTOSS,FEUERSCHLAG,ERDBEBEN,GESTEIN
GLURAK,4,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,DRACHENTANZ,AERO_ASS,FLAMMENBLITZ,ZERSCHNEIDER,GESTEIN
GLURAK,3,0,false,STILL,UEBERRESTE,252,0,4,0,252,0,IRRLICHT,FLAMMENWURF,FEUERWIRBEL,SCHUTZSCHILD,GESTEIN
GLURAK,5,0,false,HART,GLURAKNIT,4,252,0,0,0,252,DRACHENTANZ,DRACHENKLAUE,FLAMMENBLITZ,ZERSCHNEIDER,GESTEIN
TURTOK,5,0,false,MAESSIG,TURTOKNIT,4,0,0,252,0,252,HYDROPUMPE,EISSTRAHL,FINSTERAURA,Drachenpuls,GESTEIN
TURTOK,4,0,false,MAESSIG,UEBERRESTE,4,0,0,252,0,252,ERHOLUNG,EISSTURM,SURFER,TOXIN,GESTEIN
TURTOK,3,0,false,PFIFFIG,UEBERRESTE,252,4,252,0,0,0,KONTER,GEOFISSUR,NASSSCHWEIF,EISHIEB,GESTEIN
TURTOK,4,0,false,HART,UEBERRESTE,252,252,4,0,0,0,FLUCH,ERDBEBEN,NASSSCHWEIF,EISHIEB,GESTEIN
BIBOR,5,0,true,HART,BIBORNIT,4,252,0,0,0,252,SCHWARMSTICH,BIENENSTICH,ZERSCHNEIDER,SCHWERTTANZ,GESTEIN
BIBOR,4,0,false,HART,LEBEN_ORB,4,252,0,0,0,252,KREUZSCHERE,VERFOLGUNG,GIFTHIEB,DURCHBRUCH,GESTEIN
BIBOR,1,0,false,HART,BLENDPUDER,252,4,252,0,0,0,FLUCH,DOPPELTEAM,SCHWARMSTICH,BIENENSTICH,GESTEIN
RAICHU,2,0,false,MAESSIG,MAGNET,4,0,0,252,0,252,DONNERBLITZ,FOKUSSTOSS,AMPELLEUCHTE,GEHEIMPOWER,PFLANZE
RAICHU,2,0,false,ZART,MAGNET,4,0,0,252,0,252,DONNERWELLE,DONNERBLITZ,LICHTSCHILD,ABSCHLAG,PFLANZE
RAICHU,2,0,false,MILD,LEBEN_ORB,0,76,0,180,0,252,FOKUSSTOSS,DONNER,EISENSCHWEIF,KNUDDLER,PFLANZE
SANDAMER,5,0,false,PFIFFIG,SANDAMERNIT,4,252,252,0,0,0,ERDBEBEN,NACHTHIEB,KREUZSCHERE,STEINKANTE,PFLANZE
